Comparison	Signature	Sample	Age	Cell_type	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ETMR_vs_HGG-IDH	Str/SVZ 7-Neurogenic progenitor	Striatum	Mouse P9	Str/SVZ 7-Neurogenic progenitor	2.4679170779861795e-4	3.748389747417457e-4	0.7127473360022538	2.745902756727078	0	93	TEAD2, HELLS, POU3F2, DTL, SOX11, EZH2, RRM2, HMGB2, TMPO, CCNA2, CENPF, E2F1, MMS22L, CLSPN, LMNB1, TPX2, CDCA3, MDK, BIRC5, CCDC34, CENPA, CDCA8, NASP, CDCA7, CENPM, SMC4, TOP2A, MKI67, NEIL3, CKS2, PTMA, RANBP1, SETBP1, SPC25, DTYMK, PRC1, NELL2, SNRPF, HIST1H1B, HMGN1, CKS1B, LSM5, UBE2C, ATAD2, FKBP3, DCTPP1, SET, SNRPE, SNRPD1, PBK, H2AFZ, DEK, HNRNPAB, H2AFY, H2AFX, SMC2, HAT1, ANP32E, INSM1, TUBA1B, LSM4, CHD7, H1F0, TIPIN, LYAR
ETMR_vs_HGG-IDH	HF RG-early	Human fetal cortex/MGE	Human fetal	earlyRG	2.4894199651481205e-4	3.748389747417457e-4	0.6838960285222028	2.6630013173433302	0	100	HMGA2, KIAA0101, MND1, GLI2, RRM2, HMGB2, CENPU, CENPE, PTTG1, KIF15, SPC24, RAD51AP1, CDC25C, CENPW, CDCA3, FAM64A, TYMS, HIST1H2BK, TTK, NCAPG, TMEM97, NDC80, SERTAD4, CKS2, CENPN, PRC1, PLAG1, PPM1D, PCNA, PCNA, HSPH1, HIST1H1E, CKS1B, CDKN3, UBE2C, UBE2T, HIST1H1C, HMGN2, PBK, HIST1H4C, HSPE1, AJUBA, MFAP2, DPY30, NFYB, GMNN, TRIAP1, TCF7L2, FGFR3, ZNF217, LEF1, EIF1AD, SNHG15, SNHG15, SNHG15, SNHG15, RBBP8
ETMR_vs_HGG-IDH	GEs_Ctx 10	CGE	Mouse E13.5	CGE 10	2.5006251562890725e-4	3.748389747417457e-4	0.682871558953123	2.648730814724857	0	98	TEAD2, MCM6, HELLS, KIAA0101, GINS2, RBP1, MCM2, EZH2, RRM2, TMPO, CCNA2, MCM4, E2F1, TOX3, NT5DC2, MCM7, SPC24, RFC4, CDC20, CDCA3, MDK, BIRC5, CENPA, TYMS, CDCA8, NASP, CDCA7, LIG1, CENPM, SMC4, MCM5, TOP2A, MCM3, SFRP1, PAICS, FBXO5, CDK1, RANBP1, SPC25, HES5, CKS1B, RRM1, UNG, PBK, DEK, ABRACL, NRARP, SMC2, HAT1, GMNN, NSMCE4A, TCF3
ETMR_vs_HGG-IDH	HF MGE-RG2	Human fetal cortex/MGE	Human fetal	MGE Radial Glia 2	2.4894199651481205e-4	3.748389747417457e-4	0.6780080302395152	2.640074225315623	0	100	HELLS, DTL, KIAA0101, TIMELESS, PROM1, GINS2, E2F7, WDHD1, CHEK1, CENPU, MCM4, PLK4, VEPH1, KNTC1, BRCA2, BRIP1, ORC6, TOX3, CHAF1A, MCM7, RAD51AP1, RBL1, RFC3, MCM10, CDC7, TYMS, TMEM97, MCM5, MCM3, WRN, CDK1, TFDP2, FEN1, BRCA1, NTN4, WDR76, PCNA, PCNA, RAD18, STK39, C5orf30, SFXN2, DHFR, CLGN, UNG, SEPT10, ILDR2, LRP2, MRE11A, UTP20, LRR1, ZNF473, TMEM18, GMNN, CDK2
ETMR_vs_HGG-IDH	F-p0 CINHN	Forebrain P0	Mouse P0	Cortical inhibitory neurons	2.4838549428713363e-4	3.748389747417457e-4	0.6515716370704893	2.5431739554545865	0	101	ISL1, TUBB, MEIS2, STMN1, H2AFY2, RARB, RBFOX2, BZW2, RUNX1T1, CSRNP3, LMO3, STMN2, MAP1B, ZCCHC12, CNIH2, ZFHX3, TUBB3, ISLR2, BASP1, ZNF503, FNBP1L, GNG3, CADM1, NRXN3, ZCCHC18, MN1, TUBB2B, BCL11A, INA, ELAVL3, STMN4, ATAT1, ACTG1, GAD2, CELF4, FOXP2, UCHL1, CRMP1, CDK5R1, DPF1, SLC32A1, MPPED2, SIX3, NNAT, NSG1, PAFAH1B3, PLK2, TUBA1A, MLLT11, CCL27, CCL27, CCL27, CCL27, CCL27, CCL27, CCL27, GUCY1A3
ETMR_vs_HGG-IDH	F-e12 CINHN	Forebrain E12.5	Mouse E12.5	Cortical inhibitory neurons	2.469135802469136e-4	3.748389747417457e-4	0.6407250298797394	2.4521019075474806	0	90	ISL1, TUBB, SOX11, MEIS2, STMN1, NEFM, RBFOX2, RUNX1T1, STMN2, MAP1B, IGFBPL1, CD200, XPR1, CNIH2, ZFHX3, TUBB3, ISLR2, BASP1, ZFHX4, TSHZ2, GNG3, EBF1, KIF5C, NRXN3, DCX, TAGLN3, TUBB2B, L1CAM, CELF3, INA, ELAVL3, RAB3A, STMN4, ACTG1, GAD2, ANK3, POU3F1, CELF4, UCHL1, CRMP1, RAB3C, CDK5R1, SLC32A1, SIX3, NNAT, NSG1, PAFAH1B3, PLK2, BEX2, TUBA1A, MLLT11, TTC3
ETMR_vs_HGG-IDH	F-e15 CINHN	Forebrain E15.5	Mouse E15.5	Cortical inhibitory neurons	2.4679170779861795e-4	3.748389747417457e-4	0.6286121687130192	2.4217668727643034	0	93	ISL1, TUBB, MEIS2, STMN1, NEFM, TSPAN13, RBFOX2, RUNX1T1, STMN2, MAP1B, IGFBPL1, ZCCHC12, CD200, CARHSP1, XPR1, CNIH2, ZFHX3, TUBB3, ISLR2, ZFHX4, ZNF503, TSHZ2, GNG3, EBF1, CADM1, KIF5C, NRXN3, ZCCHC18, THSD7A, TUBB2B, INA, ELAVL3, STMN4, ACTG1, GAD2, POU3F1, CELF4, FOXP2, TLE4, UCHL1, CRMP1, SLC32A1, DLK1, NNAT, NSG1, PAFAH1B3, PLK2
ETMR_vs_HGG-IDH	GEs 3	CGE/LGE	Mouse E13-14	CGE/LGE 3	2.4813895781637717e-4	3.748389747417457e-4	0.6121113692695899	2.3724427626954423	0	96	NREP, ISL1, MEIS2, HIST3H2BB, NEFM, KDM5B, RBFOX2, CLMP, BZW2, RUNX1T1, STMN2, MAP1B, IGFBPL1, ZFHX3, TUBB3, ISLR2, BASP1, ZFHX4, ZNF503, FNBP1L, TP53I11, RND3, TSHZ2, GNG3, EBF1, KIF5C, DCX, TAGLN3, REM2, MN1, TUBB2B, ZSWIM6, BCL11A, ELAVL3, MYT1L, STMN4, GAD2, POU3F1, CELF4, TLE4, UCHL1, CRMP1, CDK5R1, DLGAP4, MPPED2, SCRT1, NNAT, NSG1, PLK2, TUBA1A, CITED2, MLLT11, TTC3
ETMR_vs_HGG-IDH	Str/SVZ 17-SPN	Striatum	Mouse P9	Str/SVZ 17-SPN	2.4679170779861795e-4	3.748389747417457e-4	0.6120471315938976	2.3579490529099214	0	93	GREB1L, EFNA5, MEIS2, TENM3, TENM2, RARB, CLMP, CCSER1, NELL1, RUNX1T1, ERC2, CSRNP3, CDH8, SLIT3, SCN9A, XPR1, ZFHX3, CERS6, DRD2, CADM1, CACNA1E, PTPRN2, NBEA, NDST3, CACNA2D2, SYN3, BCL11A, GRIN2B, MYT1L, STMN4, PTPRD, ANK3, PDE1A, CELF4, CNTNAP2, TLE4, NNAT, CNTNAP5, GABRG3, ADAM23, HECW1, RIMS1, GUCY1A3, UNC5D, ZNF804A, SAMD12, UBE3A, XKR4, SYT1
ETMR_vs_HGG-IDH	Str/SVZ 8-Neurogenic progenitor	Striatum	Mouse P9	Str/SVZ 8-Neurogenic progenitor	2.4813895781637717e-4	3.748389747417457e-4	0.6077276534903955	2.3554522029767533	0	96	SDK2, SP8, PAX6, TUBB, SOX11, AUTS2, MEIS2, HIST3H2BB, STMN1, TOX3, MDK, CDCA7, SRRM4, HN1, MAML3, MEX3A, STMN2, MAP1B, PTMA, IGFBPL1, CARHSP1, PBX1, BASP1, CDCA7L, ELAVL4, HMGN1, TP53I11, RND3, NRXN3, SNRPE, TUBB2B, BCL11A, HNRNPAB, ABRACL, MFAP2, FOXN3, ELAVL3, MARCKSL1, GAD2, PTPRS, INSM1, PROX1, NLK, SERF1A, MPPED2, H1F0, NNAT, ROBO2, DLX2, HSP90AB1, CITED2, TRIM2
ETMR_vs_HGG-IDH	GEs 7	CGE/LGE	Mouse E13-14	CGE/LGE 7	2.4789291026276647e-4	3.748389747417457e-4	0.6026969328524655	2.3258889552458335	0	94	CRABP1, ISL1, NEFM, TENM2, BACH2, RARB, CLMP, BZW2, MAP6, ERC2, STMN2, IGFBPL1, CD200, XPR1, CNIH2, TUBB3, ISLR2, BASP1, ZNF503, HS6ST2, GNG3, EBF1, REM2, SYT4, TUBB2B, DACT1, L1CAM, BCL11A, INA, STMN4, ANK3, REEP1, FOXP2, CNTNAP2, UCHL1, CRMP1, DLK1, NSG1, PLK2, ROBO2, TUBA1A, MLLT11
ETMR_vs_HGG-IDH	GEs_Ctx 4	Mixed	Mouse Embryonic/Postnatal	Mixed 4	2.494387627837366e-4	3.748389747417457e-4	0.5975629356388572	2.3175891200873715	0	97	MEIS1, ISL1, TUBB, SOX11, MEIS2, HIST3H2BB, SSBP3, PBX3, HDAC2, UBE2E3, RUNX1T1, MAP1B, IGFBPL1, MEST, CARHSP1, ZFHX3, TUBB3, PBX1, ISLR2, BASP1, EPHA4, ZFHX4, ZNF503, HNRNPH3, HMGN1, HNRNPA2B1, RND3, PCBP1, HNRNPM, MN1, TUBB2B, ZSWIM6, BCL11A, HNRNPAB, ABRACL, FGF3, ELAVL3, HNRNPK, GAD2, POU3F1, IDH1, FOXP2, TLE4, CDK5R1, DLGAP4, MPPED2, H1F0, SIX3, NNAT
ETMR_vs_HGG-IDH	Str/SVZ 0-Neurogenic progenitor	Striatum	Mouse P9	Str/SVZ 0-Neurogenic progenitor	2.494387627837366e-4	3.748389747417457e-4	0.5733955392698804	2.2238582483329195	0	97	GRIP1, SDK2, NREP, SP8, TUBB, SOX11, AUTS2, MEIS2, HIST3H2BB, SORBS2, STMN1, TOX3, PBX3, NEDD4L, TMEM2, SRRM4, RUNX1T1, HN1, MAML3, STMN2, MAP1B, IGFBPL1, PBX1, BASP1, ELAVL4, NRXN3, ASXL3, PAK7, TUBB2B, BCL11A, NAV3, ABRACL, ELAVL3, MARCKSL1, GAD2, CELF4, SERF1A, MPPED2, NNAT, IGF1R, LRRC7, ROBO2, DLX2, HSP90AB1, TRIM2
ETMR_vs_HGG-IDH	F-p0 CEXN1	Forebrain P0	Mouse P0	Cortical excitatory neurons 1	2.4813895781637717e-4	3.748389747417457e-4	0.5732790775972141	2.22193520155189	0	96	BHLHE22, NREP, STMN1, TSPAN13, TENM2, DPYSL5, RBFOX2, CLMP, BZW2, RUNX1T1, STMN2, MAP1B, PTMA, CNIH2, TUBB3, BASP1, HS6ST2, FNBP1L, UBE2QL1, GNG3, KIF5C, DAB1, EIF1B, DCX, TTC28, MN1, SYT4, NBEA, TUBB2B, BCL11A, ABRACL, ELAVL3, MYT1L, RAB3A, MARCKSL1, STMN4, POU3F1, UCHL1, CRMP1, CDK5R1, SERF1A, NSG1, ROBO2, TUBA1A, MLLT11, TTC3, SERF1B
ETMR_vs_HGG-IDH	GEs 5	GEs-mixed	Mouse E13-14	GEs-mixed 5	2.5043826696719256e-4	3.748389747417457e-4	0.5675000688333607	2.204301964448073	0	99	HMGA2, HMGB2, CCNA2, CENPF, CENPE, CCNB2, PTTG1, DLGAP5, KIF15, CCNB1, TPX2, SGOL1, KIF23, CKAP2L, CDC20, CDCA3, BIRC5, FAM64A, CCDC34, CENPA, CDCA8, PLK1, SMC4, PKDCC, TOP2A, MKI67, CKS2, SFRP1, TACC3, CDK1, HMMR, SPC25, PRC1, KNSTRN, HES5, NUSAP1, RACGAP1, MIS18BP1, INCENP, UBE2C, DAB1, CKAP5, PBK, CKAP2, H2AFX, E2F5, CCND1, TUBA1B, CEP89, OTX2, PABPC1
ETMR_vs_HGG-IDH	GEs_Ctx 1	Subcortex	Mouse E18.5	Subcortex 1	2.4789291026276647e-4	3.748389747417457e-4	0.5689540496641681	2.1956706066068783	0	94	CRABP1, ISL1, MEIS2, RBP1, EPHA7, TENM2, RARB, POU6F2, BZW2, SERTAD4, CDH8, IGFBPL1, CARHSP1, XPR1, ZFHX3, MYCN, TUBB3, ISLR2, CAMKK2, ZNF503, FOXP4, FLRT3, EBF1, CADM1, REM2, ZCCHC18, SYT4, TUBB2B, CHCHD6, BCL11A, LDB2, INA, STMN4, POU3F1, FOXP2, LIN7A, UCHL1
ETMR_vs_HGG-IDH	F-e12 CEXN1	Forebrain E12.5	Mouse E12.5	Cortical excitatory neurons	2.4789291026276647e-4	3.748389747417457e-4	0.5483686781311503	2.1162288744884266	0	94	BHLHE22, NREP, TUBB, SOX11, SORBS2, STMN1, NEUROD1, NHLH2, RBFOX2, SRRM4, STMN2, MAP1B, IGFBPL1, TUBB3, ISLR2, BASP1, ELAVL4, SBK1, KIF5C, DCX, TAGLN3, TTC28, SYT4, TUBB2B, BCL11A, INA, ELAVL3, MYT1L, SLC17A6, RAB3A, EPHA5, COTL1, ACTG1, ANK3, EPHA3, CELF4, KIF21B, CNTNAP2, UCHL1, CRMP1, CDK5R1, NSG1, TUBA1A, MLLT11, TTC3, KLF7, DBN1
ETMR_vs_HGG-IDH	F-p0 EXIP1	Forebrain P0	Mouse P0	Excitatory neuron intermediate progenitor cells 1	2.5006251562890725e-4	3.748389747417457e-4	0.5449216105637508	2.113648815192179	0	98	NEUROG2, POU3F2, TUBB, SOX11, AUTS2, MEIS2, SORBS2, STMN1, ELAVL2, NEUROD1, MDK, RBFOX2, SRRM4, RCOR2, MEX3A, MLLT3, IGFBPL1, TUBB3, KIF21A, HNRNPA1, HNRNPA1, ELAVL4, SBK1, SCRT2, EIF4G2, KIF5C, DCX, TAGLN3, TTC28, MN1, H3F3A, H3F3A, H3F3A, TUBB2B, SLC17A6, EPHA5, MARCKSL1, EPHA3, KIF21B, PTPRS
ETMR_vs_HGG-IDH	F-e15 CEXN2	Forebrain E15.5	Mouse E15.5	Cortical excitatory neurons 2	2.5043826696719256e-4	3.748389747417457e-4	0.5441062481443109	2.113434935996733	0	99	NR2F2, TUBB, SOX11, STMN1, EPHA7, GLRA2, TSPAN13, RBFOX2, BZW2, STMN2, MAP1B, CD200, CNIH2, TUBB3, ISLR2, BASP1, NELL2, GNG3, PPP1R14C, KIF5C, DCX, TAGLN3, SYT4, TUBB2B, INA, ELAVL3, MYT1L, RAB3A, STMN4, ATAT1, ACTG1, PTPRD, ANK3, REEP1, CELF4, CNTNAP2, UCHL1, CRMP1, SERF1A, NNAT, NSG1, PAFAH1B3, BEX2, TUBA1A, MLLT11, IGSF3, SERF1B
ETMR_vs_HGG-IDH	F-e12 MGINH	Forebrain E12.5	Mouse E12.5	Medial ganglionic eminence-derived inhibitory neurons	2.4789291026276647e-4	3.748389747417457e-4	0.5404268767021126	2.0855803889533657	0	94	CRABP2, NREP, SOX11, AUTS2, STMN1, RBFOX2, RUNX1T1, STMN2, CARHSP1, TUBB3, TPGS2, RND3, DNAJB6, DNAJB6, NRXN3, TOP2B, DCX, TAGLN3, H3F3A, H3F3A, H3F3A, TUBB2B, CELF3, ABRACL, SMARCE1, ELAVL3, GAD2, CELF4, CRMP1, DLGAP4, MPPED2, NNAT, NSG1, PAFAH1B3, DYNC1I2, DLX2, TUBA1A, CITED2, MLLT11, UBA1, DBN1, PTOV1, MAGED1, SSBP2, PRDX2, DLX1, POU3F4, COX5A, PAK3, GNG2, SP9, CDKN1C, BCL11B
ETMR_vs_HGG-IDH	Str/SVZ 19-Neurogenic progenitor	Striatum	Mouse P9	Str/SVZ 19-Neurogenic progenitor	2.4789291026276647e-4	3.748389747417457e-4	0.539079108197713	2.080379168061507	0	94	GRIP1, SDK2, NREP, SP8, PAX6, TUBB, DRAXIN, SOX11, AUTS2, MEIS2, SORBS2, ZNF618, KIAA0922, PBX3, DPYSL5, TMEM2, SRRM4, RUNX1T1, MAML3, MEX3A, STMN2, MAP1B, IGFBPL1, PBX1, BASP1, ELAVL4, NRXN3, ASXL3, PAK7, HTR3A, TUBB2B, BCL11A, NAV3, ELAVL3, GAD2, CELF4, PLCB4, ST6GALNAC3, MPPED2, IGF1R, LRRC7, ROBO2
ETMR_vs_HGG-IDH	GEs 9	LGE	Mouse E13-14	LGE 9	2.5043826696719256e-4	3.748389747417457e-4	0.5335450958947137	2.072412969781856	0	99	NEUROG2, BHLHE22, DRAXIN, SOX11, AUTS2, PRDM8, SORBS2, ELAVL2, NEUROD1, BZW2, MAP2K6, SRRM4, MLLT3, IGFBPL1, CLVS1, ISLR2, BASP1, ELAVL4, CDC42EP3, EFNB2, AFF3, GNG3, PPP1R14C, KIF5C, TAGLN3, TTC28, ENC1, SYT4, RALGPS2, MYT1L, SLC17A6, EPHA5, COTL1, PTPRD, ANK3, KIF21B, WNT7B
