Comparison	Signature	Sample	Age	Cell_type	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	Dataset
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 8-Neurogenic progenitor	Striatum	Mouse P9	Str/SVZ 8-Neurogenic progenitor	4.772130756382725e-4	9.185053825779536e-4	0.44443427281510095	1.7309386672232132	1	96	DLX1, DLX2, GAD2, SP8, DLX5, SYNPR, CDCA7L, ROBO2, CITED2, CDCA7, SEL1L3, PAX6, HMGN4, RND3, TUBB, HN1, MAML3, HNRNPAB, SP9, MDK, VIM, TCF4, TIAM2, MPPED2, CCND2, NUDT4, TP53I11	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF IN-CTX-CGE1	Human fetal cortex/MGE	Human fetal	CGE/LGE-derived inhibitory neurons	4.7744091668656003e-4	9.185053825779536e-4	0.4275992898476192	1.6774042743856583	1	100	DLX1, DLX2, ARX, GAD2, DLX6, SP8, SCGN, DLX5, MAGI1, LINC00461, GAS2L3, GAD1, PLS3, IBTK, RPP30, FAM214A, BMS1, ST8SIA5, RND3, SOX1, STRIP1, CDH2, TCF4	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 35-Mural	Striatum	Mouse P9	Str/SVZ 35-Mural	9.553379508000956e-4	0.001692791807558064	0.42515587245475783	1.6617123412125265	3	98	TBX2, SLC38A11, PDE3A, INPP4B, LHFP, RHOJ, HIGD1B, CYSLTR2, RGS5, ARHGAP29, PLXDC1, GJA4, HEYL, SLC16A12, COL3A1, APOLD1, VTN, EMCN, ITGA1, ADAP2, NOTCH3, NID1, COBLL1, COL1A2, FOXC1, ARHGAP42, COL4A1, PCDH18, PDGFRB, TBX18, ITIH5, COL4A2, MNDA, LAMA4, FLT1, EVA1B, RCSD1, CD248, GPER1, ANO1	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF nIN5	Human fetal cortex/MGE	Human fetal	MGE newborn neurons 5	9.548818333731201e-4	0.001692791807558064	0.4197870364787207	1.646758042025815	3	100	DLX1, DLX2, ARX, GAD2, DLX6, DLX5, TMEM2, ARL4D, BEST3, LHX6, GAD1, PLS3, RND3, SYNRG, PSMC1, DCX, CRB1, TCEB3, SNW1, CORO2B, RDH11, KITLG, C20orf194, PIP5K1B, CDK19, ABCA1, KIAA1841, KIAA1715, SACS, HTATSF1, EIF5A, SOX4, CARHSP1, CARHSP1, TMEM123, ZNF536	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF nIN2	Human fetal cortex/MGE	Human fetal	MGE newborn neurons 2	0.0014323227500596801	0.0024728991069406445	0.4097258771990512	1.607289708046573	5	100	DLX1, DLX2, ARX, GAD2, DLX6, DLX5, TMEM2, C17orf85, LHX6, GAD1, PLS3, CITED2, HIST1H2BD, ORMDL1, KAT7, ST8SIA5, RND3, TRAPPC6B, SOX1, SP9, DCX, PDCL	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-e15 EXIP2	Forebrain E15.5	Mouse E15.5	Excitatory neuron intermediate progenitor cells 2	0.0019097636667462401	0.0032147688390228375	0.40783780684266313	1.5998831071439503	7	100	DMRTA2, SYNE2, TEAD2, E2F1, EOMES, EMX1, MAGI1, VPS37B, FAM210B, CORO1C, LHX2, MYO10, ARL6IP6, TFAP2C, IGFBP2, LZTS1, CDK2AP1, MDK, SPSB4, CCND2, NRP1, DHRS4L2, MFAP4, DHRS4, POLR3K, DLL1, NEUROG2, CD164, F2R, UBXN2A, ABCD2, MFNG, DCAF8	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF Mural	Human fetal cortex/MGE	Human fetal	Mural/Pericyte	0.0035808068751492002	0.005786583910241108	0.40053874193330335	1.5712500318122733	14	100	SLC38A11, INPP4B, LAMC3, ENPEP, CDH6, HIGD1B, CYSLTR2, RGS5, ARHGAP29, TMEM204, AVPR1A, HEYL, ITGA1, NODAL, LRRC32, NOTCH3, OLFML2A, NID1, COBLL1, FOXF2, ARHGAP42, COL4A1, GPR116, PCDH18, PDGFRB, CCDC3, TBX18, SULT1E1, ITIH5, ANPEP, COL4A2, ITGA11, LAMA4, UNC5B, ADCY4, ARHGDIB, CD248, GPER1, ITGA4, ABCA9, GNG11, CFH, CFH, CFH, CFH, CFH	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF IPC-nEN3	Human fetal cortex/MGE	Human fetal	Intermediate Progenitor Cells EN-like 3	0.0035808068751492002	0.005786583910241108	0.39670709488727535	1.5562190874549173	14	100	SNCAIP, TEAD2, TMTC2, TGIF2, TGIF2, EOMES, MAGI1, HEG1, CORO1C, TMX1, MYO10, CCNB1IP1, TMEM158, TFAP2C, LZTS1, GPC2, PAX6, LPPR4, SYNRG, MDK, RRP8, LIMD1, FJX1, RASGRP1, MFAP4, POU2F1, NKAIN3	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-p3 ENDO	Forebrain P3	Mouse P3	Endothelial	0.0126250595521677	0.018890829848428707	0.3772593489996619	1.460243738497956	52	92	RHOJ, NOSTRIN, TMEM252, TMEM204, EXOC3L1, KDR, SLC16A4, CCDC141, LEF1, CLEC14A, VWF, USHBP1, EMCN, ROBO4, TEK, FOXF2, PTPRB, GIMAP6, ECSCR, C1orf54, ESAM, TIE1, GRAP, MEOX1, CTSW, CD34, ERG, FLT1, THSD1, SLC16A1, GIMAP1, LSR, CD93, CDH5, ENG, FLI1, AFAP1L1, SLCO2B1, C16orf89, RASGRP3, ECM1, GRAPL, TFRC, LMO2	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-p0 PERI	Forebrain P0	Mouse P0	Pericytes	0.014020912547528517	0.020825178930887946	0.37608607674525085	1.452309676811315	58	91	TBX2, SLC38A11, RHOJ, HIGD1B, ASPN, RGS5, GJA4, TMEM204, HEYL, LURAP1L, MMP9, SLC16A12, VTN, EMCN, ITGA1, ADAP2, NID1, FOXS1, P2RY14, COBLL1, COX4I2, ECSCR, RASGRP2, COL4A1, PCDH18, C1orf54, MUSTN1, PDGFRB, ESAM, ANPEP, COL4A2, LAMA4, ARHGDIB, EVA1B, RCSD1, CD248, GPER1	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-e15 MGINH	Forebrain E15.5	Mouse E15.5	Medial ganglionic eminence-derived inhibitory neurons	0.022439723084268323	0.031921296218466205	0.3570199971679877	1.400532890277139	93	100	DLX1, DLX2, ARX, GAD2, DLX5, SLC32A1, NKX2-1, NPY, ARL4D, CIRBP, LHX6, GAD1, CITED2	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	VSVZ-2 Fibroblast	V-SVZ	Mouse adult	VSVZ-2 Fibroblast	0.023383440706275353	0.033031154004668675	0.35681121378778397	1.3896730396871821	97	96	INPP4B, LHFP, CRIP1, ENPEP, TAGLN, HIGD1B, ASPN, RGS5, OGN, PLXDC1, GJA4, MYH11, HEYL, PLN, ACTA2, VTN, PCOLCE, NOTCH3, NID1, FOXS1, P2RY14, COL1A2, TINAGL1, FOXC1, COX4I2, RP5-966M1.6, RASGRP2, COL4A1, PCDH18, PDGFRB	Mizrak et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 11-Endothelial	Striatum	Mouse P9	Str/SVZ 11-Endothelial	0.024821002386634844	0.034818350570140544	0.35736921810007327	1.3881391859806336	103	94	RHOJ, HEG1, NOSTRIN, RGS5, ARHGAP29, MYO10, KDR, PDGFD, MYO1B, CCDC141, LEF1, VWF, ARHGAP18, NID1, TEK, COBLL1, SLCO1C1, VIM, PTPRB, GIMAP6, COL4A1, CSRP2, TSPAN5, ESAM, COL4A2, SEPP1, CD34, LAMA4, FLT1, SEMA6A, PTPRG, THSD1, SLC16A1, KLF2, ZNF366, PREX2, CD93, CDH5, GNG11, ENG, FLI1, RASGRP3, DACH1, TFRC, LMO2, WWTR1	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF tRG	Human fetal cortex/MGE	Human fetal	Truncated Radial Glia	0.026975411792790643	0.03732214508317609	0.3491057993471091	1.3694867459820765	112	100	FZD8, MOXD1, AJUBA, HEG1, DOK5, LAMB2, LTBP1, TNFRSF19, PSRC1, TFAP2C, EVA1C, GPX3, SHROOM3, LIPG, H6PD, COL4A6, PAX6, CDO1, FAM84B, EGR2, EGFR, BMP7, GPR98	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 43-Endothelial	Striatum	Mouse P9	Str/SVZ 43-Endothelial	0.03231939163498099	0.04411160209639297	0.3541095412251341	1.3674441708216516	135	91	RHOJ, NOSTRIN, FLVCR2, ARHGAP29, TMEM204, KDR, PDGFD, SLC16A4, CCDC141, LEF1, VWF, ITGA1, NID1, TEK, FOXF2, SLCO1C1, PTPRB, GIMAP6, COL4A1, TGFBR2, ESAM, TIE1, MEOX1, COL4A2, CD34, LAMA4, EOGT, ERG, FLT1, THSD1, SLC16A1, KLF2, ITGA4, ZNF366, LSR, ARAP3, CD93, CDH5, GNG11, ENG, FLI1, AFAP1L1	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-p0 ENDO	Forebrain P0	Mouse P0	Endothelial	0.03334921391138637	0.04521168597382582	0.34636994516854247	1.3516584773478484	139	97	NOSTRIN, TMEM252, EXOC3L1, KDR, SLC16A4, PCDH12, FAM124B, CLEC14A, VWF, USHBP1, EMCN, ROBO4, TRIM16L, TEK, FLT4, FOXF2, PTPRB, GIMAP6, ECSCR, TRIM16, C1orf54, ESAM, TIE1, SLCO2A1, PDGFB, GRAP, CTSW, CD34, CDKN2B, ERG, CCM2L, FLT1, SHE, THSD1, UNC45B, GIMAP1, LSR, CD93, CDH5, ENG, GIMAP5, FLI1	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF Endothelial	Human fetal cortex/MGE	Human fetal	Endothelial	0.036762950584865124	0.048856026435149705	0.3418586704105513	1.3410574072440768	153	100	FLVCR2, ARHGAP29, IGFBP4, KDR, APOLD1, VWF, EMCN, LRRC36, LRRC32, ROBO4, IGFBP3, TEK, DPEP1, BCL6B, GIMAP6, ECSCR, GPR116, C1orf54, TGFBR2, ESAM, FAM198B, DSP, ELTD1, CD34, GIMAP7, CXorf36, ERG, MMRN1, FLT1, ABCG2, ABCG2, SHE, PRKCH, TGM2, CA2, EDN3, CD93, CDH5, GNG11, ENG, FLI1, AFAP1L1, TNFSF10	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 39-Microglia	Striatum	Mouse P9	Str/SVZ 39-Microglia	0.04859456884230586	0.06332969616868248	0.34050282705898	1.3179716353541542	203	92	TNFRSF11A, CD37, FGD2, OLFML3, ADAP2, CX3CR1, MERTK, CD84, CYTH4, LTC4S, TGFBR2, ABI3, MPEG1, IFI27L1, CD180, ARPC1B, C1QC, LYZ, ABCA9, SLA, FCRL2, PIK3AP1, TREM2, CFH, FLI1, SLCO2B1, NCKAP1L, C1QA, C3AR1, IKZF1, NCF1, C1QB, LPCAT2, ARHGAP30, CCR2, LAIR1	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HP Endothelial	Human ped/adult cortex	Human ped/adult	Endothelial	0.04894937917860554	0.06338317047486103	0.3350150335100131	1.311628797622558	204	99	SYNE2, DCN, LHFP, HEG1, HIGD1B, CTD-3179P9.1, RGS5, ARHGAP29, LEF1, VWF, EMCN, ITGA1, NOTCH3, COBLL1, ST8SIA6, VIM, PTPRB, THSD4, GPR116, PDGFRB, TGFBR2, UTRN, RP11-649A16.1, ITIH5, MT2A, ELTD1	Velmeshev et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 21-Endothelial	Striatum	Mouse P9	Str/SVZ 21-Endothelial	0.059665871121718374	0.07643571870992505	0.33315897936540273	1.2940986828051995	249	94	LHFP, RHOJ, HEG1, HIGD1B, RGS5, ARHGAP29, MYO10, KDR, PDGFD, MYO1B, CCDC141, LEF1, ITGA1, NID1, TEK, COBLL1, FOXF2, SLCO1C1, VIM, PTPRB, COL4A1, CSRP2, PDGFRB, UTRN, COL4A2, SEPP1, CD34, LAMA4, FLT1, EVA1B, PTPRG, SLC16A1, ITGA4, ZNF366, PREX2, CD93, GNG11, ENG, FLI1, RASGRP3, NDUFA4L2, TFRC, LMO2, WWTR1, SLC38A2, DLC1	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF IN-STR	Human fetal cortex/MGE	Human fetal	Striatal neurons	0.06588684650274529	0.08370530184625502	0.32415444227165124	1.2716065249344435	275	100	DLX2, DLX6, DLX5, SYNPR, LHFP, ZFHX4, GAS2L3, ZFHX3, LRRC40, LRRC16A, EXOSC8, JKAMP, JKAMP, SIX3, TRIM33, MAML3, PHACTR4, USP8, SP9	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-p3 MGL	Forebrain P3	Mouse P3	Microglia	0.06733764677689912	0.08501377905583513	0.32120913627075814	1.2657923578914552	280	104	CD37, FGD2, CCL3, OLFML3, FCGR1B, CX3CR1, LAG3, CD84, CYTH4, LTC4S, PLEK, ABI3, GPR34, CCL4, HEXB, MPEG1, CCL15-CCL14, CCL15-CCL14, CD180, CD14, FCGR1A, HCLS1, P2RY13, C1QC, PTPN6, CCL23, CCL23, LYZ, TREM2, CCL18, CRYBB1, C1QA, C3AR1, IKZF1, NCF1, C1QB, LPCAT2, ARHGAP30, CD300C, TNFAIP8L2, CCL15, CCL15, LAIR1, BCL2A1	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-p6 ENDO	Forebrain P6	Mouse P6	Endothelial	0.08525290904773213	0.10565084434136128	0.32123975308109637	1.246936023971986	358	93	NOSTRIN, TMEM252, EXOC3L1, KDR, SLC16A4, CLEC14A, VWF, USHBP1, EMCN, ROBO4, TRIM16L, TEK, FOXF2, PTPRB, GIMAP6, ECSCR, TRIM16, C1orf54, ESAM, TIE1, GRAP, MEOX1, TMEM88, CTSW, CD34, ERG, DLL4, FLT1, THSD1, SLC16A1, GIMAP1, LSR, CD93, CDH5, ENG, FLI1, AFAP1L1, C16orf89, RASGRP3, GRAPL, TFRC, LMO2	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	VSVZ-1 Mural+Fibroblast	V-SVZ	Mouse adult	VSVZ-1 Mural+Fibroblast	0.09361600762267747	0.11530752158402956	0.31637877956355076	1.2346223031618788	392	97	DCN, LHFP, ENPEP, TAGLN, HIGD1B, ASPN, RGS5, ARHGAP29, OGN, PLXDC1, GJA4, HEYL, SLC16A12, COL3A1, APOLD1, VTN, PCOLCE, NOTCH3, NID1, FOXS1, P2RY14, COL1A2, FOXC1, COX4I2, RP5-966M1.6, COL4A1, PCDH18, PDGFRB, TBX18	Mizrak et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF IPC-nEN1	Human fetal cortex/MGE	Human fetal	Intermediate Progenitor Cells EN-like 1	0.09978515158749104	0.12142530494381441	0.3115221461292187	1.2220520283585186	417	100	DMRTA2, EMX2, TBR1, BICD1, TMTC2, EOMES, EPHB2, SEZ6, NRN1, CORO1C, TMEM158, TFAP2C, LZTS1, ZNF3, SYNRG, C6orf203, BAZ2B, CDK2AP1, CDK2AP1, CCDC88C, DUOX1, RASGRP1, NUDT4, TSPAN5, NKAIN3, CNR1, WDR6, NFIC, PRKX, AGO1, SVIL	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 42-Endothelial	Striatum	Mouse P9	Str/SVZ 42-Endothelial	0.11363093817140128	0.1366276756584706	0.30810135525825566	1.2086328076886768	475	100	FOXD1, DCN, LAMC3, RHOJ, TFAP2B, KANK2, ARHGAP29, TMEM64, BMP6, SLC16A12, COL3A1, IGFBP2, VTN, PCOLCE, COL5A2, NID1, COL1A2, BMP7, ISLR, FOXC1, COL1A1, IER3, COL4A1, MFAP4, TBX18, ITIH5, C1QTNF2, SERPINF1, COL4A2, ROR1, SVIL, PDZRN3, COL6A3, SLC6A13	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-e12 MGINH	Forebrain E12.5	Mouse E12.5	Medial ganglionic eminence-derived inhibitory neurons	0.12720763723150358	0.1511526042397866	0.30781113494811196	1.1956393462600787	532	94	DLX1, DLX2, ARX, GAD2, DLX5, NKX2-1, CITED2, RND3, SSBP2, SP9, SMARCE1, TRAPPC2L, DCX, MPPED2, NUDT4, PAK3	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF nIN3	Human fetal cortex/MGE	Human fetal	MGE newborn neurons 3	0.12890904750537122	0.15227852395371339	0.30380277300158437	1.1917701504711955	539	100	DLX1, DLX2, ARX, DLX6, TMEM2, ARL4D, LHX6, GAD1, PLS3, CITED2, ST8SIA5, RND3, SOX1, SP9, SKIDA1, SMEK1, DCX	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-p0 MAC	Forebrain P0	Mouse P0	Macrophages	0.16462976276060387	0.18847294346103266	0.2937701432986113	1.1568969806316576	686	103	SLFN12, FCGR1B, CD163, TMEM106A, LRRC25, MRC1, RGS18, CD84, FOLR2, CYTH4, CYBB, LTC4S, CD200R1L, LPXN, PLEK, SLFN12L, CCL15-CCL14, MNDA, CD14, MILR1, FCGR1A, HCLS1, LYL1, C1QC, PF4V1, PTPN6, CCL23, LYZ, AOAH, CD200R1, PPBP, C1QA, STAB1, C3AR1, NCF1, LCP1, CD300C, TNFAIP8L2	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF vRG	Human fetal cortex/MGE	Human fetal	Ventricular Radial Glia	0.2413463833850561	0.2678679639768205	0.280701457526229	1.1011473495397397	1010	100	MOXD1, VEPH1, RHOJ, SALL1, YAP1, CELSR1, TFAP2C, FABP7, GPX3, SHROOM3, LIPG, COL4A6, PAX6, NOTCH2, SLC1A3, SLCO1C1, BMP7, ARAP2, VIM, ZIC5, IQGAP2, ITGA2, MT2A, FUT8, ZMAT1, HOPX, PUS7, HES1	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 23-Microglia	Striatum	Mouse P9	Str/SVZ 23-Microglia	0.25823389021479715	0.28196349093723794	0.28131071256632173	1.0927030190946538	1081	94	TNFRSF11A, TOP2A, IGF1, BIRC5, CKS1B, FGD2, TUBA1B, CX3CR1, MRC1, CD84, GRN, LTC4S, GPX1, PFN1, MPEG1, SEPP1, CD180, ARPC1B, MKI67, C1QC, LYZ, HEXA, FCRL2, TREM2, CFH, FLI1, C1QA, LPL, C3AR1, IKZF1, C1QB, CYBA, RAP1B, LCP1, DAB2, TGFBR1	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF oRG	Human fetal cortex/MGE	Human fetal	Outer Radial Glia	0.2771544521365481	0.30099569533108983	0.27582310044884983	1.0820103275477448	1160	100	MOXD1, NPNT, VEPH1, RHOJ, LRRC10B, ATP10B, ARHGEF6, EVA1C, GPX3, NOTCH2, SLC1A3, SLCO1C1, BMP7, ARAP2, ANKRD9, HNMT, DIO2, IQGAP2, TRIM5, TRIM5, TRIM5, TRIM5, TRIM5, TRIM5, TRIM5, STK3, HOPX	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-p6 MAC	Forebrain P6	Mouse P6	Macrophages	0.4119466920514041	0.442623573374381	0.25719619714953834	1.0129939194185762	1730	102	SLFN12, IGF1, MMP9, FCGR1B, CD163, TMEM106A, LRRC25, MRC1, RGS18, FOLR2, CYTH4, CYBB, LTC4S, CD200R1L, IER3, SLFN12L, TNFRSF17, CCL15-CCL14, TRIM5, MNDA, MNDA, CD14, FCGR1A, TNF	Jessa et al 2019
