Comparison	Cell_type	Age	Dataset	pval	padj	ES	NES	leadingEdge
HGG-G34R.V_vs_HGG-IDH	Ventricular Radial Glia	Human fetal	Nowakowski et al 2017	1.5928639694170118e-4	5.342431335211119e-4	0.5754945426882319	2.154468567966912	MOXD1, VEPH1, PAX6, GLI3, CELSR1, SLCO1C1, LIPG, MLC1, HES1, YAP1, ANGPTL1, SLC1A3, SALL1, BMP7, MEGF10, SHROOM3, NRG1, FABP7, SFRP1, PDLIM3, NOTCH2, TFAP2C, NOTCH1, F3, COL27A1, SOX9, COL4A6, ARAP2, HOPX, ZFP36L1, EMP2, TMEM132B, TNC, KIAA1161, PSAT1, FGFBP3, VIM, LAMA1, ITGB8, LRRC3B, SALL3, RHOJ, PPAP2B, IQGAP2, C8orf4, CREB5, STOX1, LPCAT1
HGG-G34R.V_vs_HGG-IDH	Dorsal radial glial cells	Mouse E15.5	Jessa et al 2019	1.5775358889414735e-4	5.342431335211119e-4	0.5456483884825769	2.0672459053430896	NR2E1, TEAD2, PAX6, MCM2, MCM6, MCM5, MCM3, SERPINH1, PLAGL1, HES1, GINS2, SLC1A3, MDK, HES5, CDCA7, FABP7, SFRP1, HELLS, SIVA1, EMX2, GRB10, SOX9, DCTPP1, LHX2, DEK, ZFP36L1, UNG, H2AFZ, PSAT1, CCND2, VIM, HNRNPF, MFAP2, METTL1, HSPD1, EIF5AL1, EIF5A, MT3, PFN1
HGG-G34R.V_vs_HGG-IDH	Pericytes	Mouse E12.5	Jessa et al 2019	1.6126431220770844e-4	5.342431335211119e-4	0.5568695195532213	2.0558461836414095	HEYL, SERPINH1, TBX2, TAGLN2, SEPT11, NID1, BGN, PCOLCE, PDGFRB, FSTL1, CD248, PCDH18, NDUFA4L2, COL4A2, GNG11, LGALS1, COL4A1, MCAM, KCNJ8, RASGRP2, MFGE8, CRIP1, PPIC, UACA, EVA1B, ITGA1, TGFB1I1, RGS5, GJA4, LRRC32, C1orf54, ABCC9, GSTK1, RHOJ, ESAM, VTN, PFN1, FOXS1, LAMB1, MYH9, COX4I2, ECSCR
HGG-G34R.V_vs_HGG-IDH	MGE newborn neurons 1	Human fetal	Nowakowski et al 2017	1.5928639694170118e-4	5.342431335211119e-4	0.5046221198363802	1.8891447533279022	DLX1, DLX2, ARX, TMEM2, PLXNA2, METAP1D, ARL4D, DLX6, GAD2, SOX1, DLX5, SMARCD1, CDK6, FAM65B, ST8SIA5, PDGFD, CCSER1, DCX, EFNA5, MYO1B, TOX3, FNBP1L, TPGS2, KIAA1958, SP9, UBE4B, ZNF536, ZFHX2, PLS3, NRXN3
HGG-G34R.V_vs_HGG-IDH	Mural/Pericyte	Human fetal	Nowakowski et al 2017	1.5928639694170118e-4	5.342431335211119e-4	0.4863888083739732	1.8208850331710287	INPP4B, HEYL, NID1, BGN, CDH6, NOTCH3, LAMC3, PDGFRB, SLC38A11, CD248, PCDH18, NODAL, NDUFA4L2, COL4A2, KCNE4, GNG11, COL4A1, MCAM, ITGA11, KCNJ8, AVPR1A, OLFML2A, PRKG1, ENPEP, TMEM204, ITGA1, RGS5, LRRC32, ABCC9, ANPEP, PDE7B, ECM1, CCDC3, FN1, ARHGAP42, COBLL1, SLC6A12, LAMA2, ARHGAP29, CYTH3, LAMA4, UNC5B, GPER1, CHST2
HGG-G34R.V_vs_HGG-IDH	Intermediate Progenitor Cells EN-like 3	Human fetal	Nowakowski et al 2017	1.5928639694170118e-4	5.342431335211119e-4	0.48297687048205706	1.8081118226560318	TEAD2, CBFA2T2, PAX6, TGIF2, TGIF2, LIMD1, MLC1, MAGI1, EOMES, SNCAIP, MDK, TMTC2, MEGF10, GPC2, POU2F1, TFAP2C, KIF26B, HEG1, MFAP4, NKAIN3, LZTS1, NHLH1, RGS16, RASGRP1, SDC2, MAP6, NFIX, MFAP2, LPPR4, TMEM158, DUSP10, MYO10, DUSP12, DNM2, FAM127A, ZHX3, MED27, MAD2L2, COL4A5, SCRN1, PEX19
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 35-Mural	Mouse P9	Anderson et al 2020	3.200512081933109e-4	6.042088229443813e-4	0.48264573715427767	1.8009790152355802	PDE3A, INPP4B, HEYL, SERPINH1, TBX2, NID1, SLC16A12, NOTCH3, PDGFRB, SLC38A11, CD248, PCDH18, NDUFA4L2, COL1A2, COL4A2, LHFP, MYL9, GNG11, COL4A1, MCAM, KCNJ8, PLXDC1, MAST4, NR2F2, UACA, EVA1B, ITGA1, RGS5, ANO1, MICB, GJA4, ABCC9, IL34, RHOJ, DOCK6, VTN, FN1, ARHGAP42, COBLL1, ARHGAP29, RBPMS, LAMA4, S1PR3, FLT1, CALD1, GPER1, FAM101A, EGFLAM
HGG-G34R.V_vs_HGG-IDH	MGE newborn neurons 4	Human fetal	Nowakowski et al 2017	1.5928639694170118e-4	5.342431335211119e-4	0.4742870464033628	1.7755798845576174	DLX1, DLX2, ARX, TMEM2, TAC3, DLX6, GAD2, SOX1, DLX5, DCX, EFNA5, MYO1B, TOX3, SOX11, FBXW7, SP9, PLS3, ASAP1, NRXN3, ACTG1, SEMA6D, RND3, SNTG1, DACH2, SP3, H1F0, NUP43, KIAA0922
HGG-G34R.V_vs_HGG-IDH	Pericytes	Mouse P3	Jessa et al 2019	4.878842088144414e-4	8.799340194689032e-4	0.48112438893381776	1.7634202391465337	HEYL, NID1, BGN, SPON2, SLC16A12, PCOLCE, NOTCH3, PDGFRB, SLC38A11, CD248, MYO1B, PCDH18, NDUFA4L2, COL4A2, GNG11, COL4A1, MCAM, KCNJ8, RASGRP2, ASPN, PLXDC1, FAM162B, ENPEP, UACA, EVA1B, ITGA1, TGFB1I1, RGS5, LURAP1L, GJA4, LRRC32, ABCC9, ANPEP, IL34, ESAM, VTN, FOXS1, LAMB1, COX4I2, LAMA4, S1PR3, PDLIM1, CALD1, GPER1
HGG-G34R.V_vs_HGG-IDH	Outer Radial Glia	Human fetal	Nowakowski et al 2017	3.1857279388340236e-4	6.042088229443813e-4	0.4663641982779581	1.7459192605398373	MOXD1, GLI2, VEPH1, SLCO1C1, MLC1, SLC1A3, NPNT, BMP7, NOTCH2, TRIM5, TRIM5, TRIM5, TRIM5, TRIM5, TRIM5, TRIM5, F3, EVA1C, RANBP3L, ARAP2, HOPX, ANKRD9, TMEM132B, TNC, LRRC10B, PSAT1, ANKFN1, SLC15A2, ATP10B, DIO2, LRRC3B, RHOJ, MT3, SOAT1, IQGAP2, KLHL21, GALNT16, C8orf4
HGG-G34R.V_vs_HGG-IDH	VSVZ-2 Fibroblast	Mouse adult	Mizrak et al 2019	4.791566842357451e-4	8.7337377370972e-4	0.46685501834661647	1.7380979149267504	INPP4B, HEYL, SERPINH1, NID1, BGN, HSPB2, PCOLCE, NOTCH3, PDGFRB, CD248, PCDH18, NDUFA4L2, COL1A2, LHFP, HSPB1, MYL9, GNG11, LGALS1, COL4A1, MCAM, KCNJ8, RASGRP2, ASPN, PLXDC1, CRIP1, OGN, ENPEP, NR2F2, EVA1B, TGFB1I1, RGS5, ANO1, GJA4, ABCC9, IL34, VTN, ACTA2, FOXS1
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 42-Endothelial	Mouse P9	Anderson et al 2020	4.778591908251035e-4	8.7337377370972e-4	0.46296655673365483	1.7331995710042485	SERPINH1, IGFBP2, TFAP2B, NID1, BMP7, SLC16A12, PCOLCE, BICC1, CTHRC1, LAMC3, MRC2, COL5A2, COL1A2, COL4A2, ROR1, C1QTNF2, MFAP4, LGALS1, COL4A1, RANBP3L, EMP3, COL1A1, KANK2, NR2F2, LAMA1, SVIL, ROR2, ADAMTS12, MICB, HIC1, DCN, IL34, PDZRN3, RHOJ, VTN, WNT4
HGG-G34R.V_vs_HGG-IDH	MGE newborn neurons 5	Human fetal	Nowakowski et al 2017	4.778591908251035e-4	8.7337377370972e-4	0.4628013415922513	1.7325810580511223	DLX1, DLX2, ARX, TMEM2, ARL4D, DLX6, GAD2, DLX5, FAM65B, DCX, DNMT3A, EFNA5, PCBP1, CARHSP1, CARHSP1, ZNF536, PLS3, ASAP1, NRXN3, CORO2B, PIP5K1B, RND3, IPO9, SPEN, EIF5A, BLOC1S1, ARNT, ABI2, ABAT, KIAA1715, ELMO2, KITLG, STXBP4, HTATSF1
HGG-G34R.V_vs_HGG-IDH	Pericytes	Mouse P6	Jessa et al 2019	0.0016223231667748216	0.002686141636791098	0.45475020533103766	1.6745037876812177	INPP4B, HEYL, TBX2, NID1, BGN, HSPB2, PCOLCE, PDGFRB, SLC38A11, FSTL1, CD248, MYO1B, PCDH18, NDUFA4L2, COL4A2, GNG11, COL4A1, MCAM, KCNJ8, RASGRP2, ASPN, PLXDC1, FAM162B, ENPEP, EVA1B, HSPB2-C11orf52, ITGA1, TGFB1I1, RGS5, LURAP1L, GJA4, LRRC32, ABCC9, IL34, ESAM, VTN, FOXS1, LAMB1, COX4I2, S1PR3, PDLIM1, CALD1, GPER1
HGG-G34R.V_vs_HGG-IDH	Pericytes	Mouse P0	Jessa et al 2019	0.0016223231667748216	0.002686141636791098	0.45391666149317345	1.6714344711700004	HEYL, TBX2, NID1, BGN, SLC16A12, PDGFRB, SLC38A11, CD248, PCDH18, NDUFA4L2, COL4A2, GNG11, COL4A1, MCAM, KCNJ8, C22orf15, RASGRP2, ASPN, FAM162B, TMEM204, EVA1B, ITGA1, TGFB1I1, RGS5, LURAP1L, GJA4, C1orf54, ABCC9, ANPEP, IL34, RHOJ, ESAM, VTN, FOXS1, COBLL1, LAMB1, MYH9, COX4I2, ECSCR, RBPMS, LAMA4, S1PR3, PDLIM1, GPER1
HGG-G34R.V_vs_HGG-IDH	Medial ganglionic eminence-derived inhibitory neurons	Mouse E12.5	Jessa et al 2019	0.0014460154241645244	0.0024341259640102827	0.4492862250999648	1.6653521028976181	DLX1, DLX2, ARX, UBA1, GAD2, DLX5, AUTS2, CITED2, DBN1, DCX, NREP, PPDPF, PTOV1, CARHSP1, MPPED2, UBB, AES, SOX11, MAGED1, TPGS2, SP9, NRXN3, DYNLRB1, DLGAP4, MIEN1, DNAJB6, DNAJB6, RND3
HGG-G34R.V_vs_HGG-IDH	CGE/LGE-derived inhibitory neurons	Human fetal	Nowakowski et al 2017	6.371455877668047e-4	0.0011000291344349963	0.4426288292952566	1.6570615866104597	DLX1, DLX2, SP8, SCGN, ARX, MEIS1, DLX6, MAGI1, GAD2, GAS2L3, SOX1, DLX5, FAM65B, ST8SIA5, CDH2, PLCG1, POU2F1, EPHA5, ARID1B, ELOVL6, PLS3, NRXN3, NR2F2, CCDC93, PDS5A, RND3, BTG1, BTG1, BTG1, STRIP1, PROX1, PDZRN3, SPEN
HGG-G34R.V_vs_HGG-IDH	Choroid	Human fetal	Nowakowski et al 2017	6.371455877668047e-4	0.0011000291344349963	0.4399129907608822	1.6468943507394624	CLIC6, ZNF474, OTX2, FBXW9, PRND, PRND, ABCA4, C11orf70, C20orf26, C15orf26, FOLR1, TEX26, EFCAB1, C9orf117, TTR, CLDN1, RIBC1, ADAMTS12, TEKT1, ZMYND10, WDR63, LRRIQ1, ROPN1L, ATG9B, SPA17, VWA3A, EFCAB12, SLC7A8, TRPM3, DNAI1, DCDC2, C9orf24, CA2, KATNAL2, CALML4, SLC13A4, GALNT5
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 10-Astrocytes	Mouse P9	Anderson et al 2020	0.0024154589371980675	0.0039033816425120774	0.4437404323765341	1.6418041218887693	VEPH1, GLI3, SLCO1C1, PRDM16, MLC1, PLAGL1, SLC1A3, HES5, SHROOM3, NRG1, RORB, FABP7, SFRP1, FXYD1, NOTCH2, GJA9, CSPG5, THSD4, KIF21A, ACSS1, SOX9, ARAP2, NFIA, TNC
HGG-G34R.V_vs_HGG-IDH	Excitatory neuron intermediate progenitor cells 2	Mouse E15.5	Jessa et al 2019	0.001911436763300414	0.003139107529973038	0.4289532663404701	1.605864627560751	DMRTA2, TEAD2, CBFA2T2, E2F1, IGFBP2, MAGI1, NEUROG2, EOMES, VPS37B, FAM210B, MDK, ABCD2, SYNE2, IDH2, TFAP2C, NISCH, MFAP4, LZTS1, LHX2, CDK4, F2R, CCND2, QSOX1, DDIT4, MFAP2, DHRS4L2, EZR, AFAP1
HGG-G34R.V_vs_HGG-IDH	VSVZ-1 Mural+Fibroblast	Mouse adult	Mizrak et al 2019	0.0035194368900975845	0.00555411134218525	0.4266833560258942	1.5904849957846965	HEYL, NID1, BGN, HSPB2, SLC16A12, PCOLCE, NOTCH3, PDGFRB, LAMC1, CD248, PCDH18, NDUFA4L2, COL1A2, COL4A2, LHFP, HSPB1, MYL9, C1QTNF2, COL4A1, KCNJ8, ASPN, PLXDC1, OGN, ENPEP, NR2F2, EVA1B, RGS5, ANO1, GJA4, HIC1, DCN, ABCC9, IL34, DDIT4L, VTN, FOXS1
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 0-Neurogenic progenitor	Mouse P9	Anderson et al 2020	0.004319308910574308	0.006660308396458092	0.42417829456743	1.5811472454203161	DLX1, DLX2, SP8, TMEM2, NEDD4L, TUBB, MAML3, GAD2, ROBO2, BCL11A, SYNPR, AUTS2, TSPAN5, HIST3H2BB, NREP, MPPED2, TOX3, SORBS2, BASP1, SOX11, MEIS2, SP9, NFIB, NRXN3, PBX1, CCND2, TIAM2
HGG-G34R.V_vs_HGG-IDH	MGE newborn neurons 3	Human fetal	Nowakowski et al 2017	0.003026441541892322	0.0048137101689940875	0.4222864230373482	1.5809060862042292	DLX1, DLX2, SKIDA1, ARX, TMEM2, ARL4D, DLX6, SOX1, FAM65B, ST8SIA5, CITED2, DCX, DNMT3A, EFNA5, IGDCC3, HSPB1, FBXW7, TPGS2, SP9, ZNF536, PLS3, ASAP1, NRXN3, RND3, TP53INP1, DACH2, PDZRN3, DUSP10, SIAH3, H1F0, KIAA0922
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 19-Neurogenic progenitor	Mouse P9	Anderson et al 2020	0.0038560411311053984	0.005991694680640696	0.42627065559841865	1.580041169849853	DLX1, DLX2, SP8, PAX6, TMEM2, TUBB, MAML3, GAD2, ROBO2, BCL11A, SYNPR, DLX5, AUTS2, CITED2, TSPAN5, MEX3A, NREP, MPPED2, ZNF618, DPYSL5, SORBS2, BASP1, SOX11, MEIS2, SP9, NFIB, NRXN3, PBX1
HGG-G34R.V_vs_HGG-IDH	Meninges	Mouse E15.5	Jessa et al 2019	0.005131494547787043	0.007793698486112651	0.41862105699302943	1.5546720900036977	SERPINH1, IGFBP2, NID1, BGN, BMP7, PCOLCE, CTHRC1, CTSK, COL5A2, FMO1, FSTL1, GPX7, GPX8, COL1A2, COL4A2, LGALS1, COL4A1, RANBP3L, PLAT, EMP3, COL1A1, PPIC, MSX1, FKBP10, FBLN1, EVA1B, IGFBP4, LOX, DCN, COL6A2, VTN, NID2
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 40-Progenitor	Mouse P9	Anderson et al 2020	0.004959206526955687	0.007589088776098854	0.4161839496876785	1.5513478979585387	PLXNA2, NEDD4L, TUBB, PRDM16, POU3F2, EOMES, ROBO2, NRG1, AUTS2, CDH4, POU2F1, CCSER1, ZFHX4, EPHA3, KCNH7, NREP, EFNA5, LMO1, TTC28, SH3RF3, ZBTB18, SETBP1, BASP1, SOX11, LHX2, MEIS2, NFIA, MLLT3, ZNF536, NFIB, RAI14, POU3F3, NFIX
HGG-G34R.V_vs_HGG-IDH	Meninges	Mouse E12.5	Jessa et al 2019	0.005797101449275362	0.008681043913111424	0.4137072970326102	1.5306839223234139	SERPINH1, TFAP2B, NID1, BGN, PCOLCE, CTHRC1, COL5A2, FSTL1, GPX7, COL1A2, COL4A2, LGALS1, COL4A1, CRYM, EMP3, COL1A1, SIX2, PPIC, MSX1, FBLN1, EVA1B, SVIL, MFAP2, IGFBP4, HIC1, IGF1, DCN, COL6A2, VTN, PFN1, FN1, LAMB1, ARHGAP29, FAM174B, ISLR, CALD1
HGG-G34R.V_vs_HGG-IDH	Glycolysis	Human fetal	Nowakowski et al 2017	0.006713211600429645	0.00997109370063815	-0.37299099041875433	-1.4871698433504408	NTRK2, DACT3, PTPRN, FGF14, SPINT2, PRKCB, VWA5A, VWA5A, FSIP2, FAM162A, NEBL, FABP3, FABP3, CDKN1A, SLC3A1, ZRSR2, ZRSR2, ATP1A3, TXNIP, CLEC4A, CLEC4A, CLEC4A, CLEC4A, CLEC4A, CLEC4A, PEG3, NSF, ZMAT3, RAB3A, PPP2R2C
HGG-G34R.V_vs_HGG-IDH	Newborn Excitatory Neuron - early born 1	Human fetal	Nowakowski et al 2017	0.002953813104189044	0.004735478151160214	-0.384270143402988	-1.532141482364714	MYT1, JPH4, ERC2, CFTR, HECW1, NPTX1, NKAIN1, DCC, SYT4, ZFPM2, SLC6A15, TMEM130, FSTL5, EPB41L3, FAM188A, STK17B, NEUROD6, PPP2R2B, ABHD6, C3orf14, SYT1, PHYHIP, NEUROD1, MMD, GLB1L2, B3GAT1, SLC44A5, RBFOX3, THSD7A, SLC17A7
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 2-Progenitor	Mouse P9	Anderson et al 2020	0.0037056643726839597	0.005802668242497363	-0.39254318848593134	-1.5511103482154145	TTC9B, HPCAL4, PSD, CPLX2, PPP1R1A, COL19A1, CPE, SERP2, DDN, PCP4L1, SPTBN2, SLC26A8, GLP2R, NDUFV3, CST3
HGG-G34R.V_vs_HGG-IDH	Cortical excitatory neurons 1	Mouse P0	Jessa et al 2019	0.0021384656508954825	0.0034836295280716734	-0.4002934268461808	-1.585137662873111	NSG2, ARPP21, OPCML, RTN1, FAM19A2, SYT4, GPR85, KHDRBS2, GRIA2, NCAM1, SERP2, TSC22D1, RBFOX1, NSG1, MYT1L, NEUROD6, LY6H, NBEA, DPYSL3, MPPED1, BZW2, STMN2, TTC3, KIAA1549L, APLP1, TSPAN13, TUBB3, GPM6A, RUNX1T1, STMN4, PPFIA2, PLXNA4, FAM49A
HGG-G34R.V_vs_HGG-IDH	Cortical excitatory neurons 1	Mouse E15.5	Jessa et al 2019	0.0010692328254477412	0.0018150002583230565	-0.41337216699786766	-1.6369286796797302	JPH4, ALCAM, WNT7B, INA, HECW1, SH3GL2, ACTL6B, ARPP21, RTN1, SYT4, GPR85, TAGLN3, GRIA2, GAP43, SNAP25, RBFOX1, NSG1, MYT1L, NEUROD6, PPP2R2B, DPYSL3, MPPED1, BZW2, STMN2, PCDH9, LRFN5, ITM2B, IFNGR2, TUBB3, GPM6A, RUNX1T1, FAM49A, ZNRF2, TNIK, CDH13, SERPINI1, RAB3A
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 18-Interneurons	Mouse P9	Anderson et al 2020	2.675943270002676e-4	5.342431335211119e-4	-0.43986717965996	-1.7521448832165722	NXPH1, MEGF11, CRTAC1, ADCY8, ABLIM3, VWC2, ERC2, LRRTM4, GRIA4, XKR4, OPCML, NYAP2, VWC2L, PCDH15, TRHDE, VSNL1, TMEM130, RBFOX1, DNER, LGR5, MYT1L, KCNC2, PCSK6, IQSEC3, DPP10, NRCAM, PPM1L, OLFM2, KCNMB2, DLGAP2, THSD7A, ASTN2
HGG-G34R.V_vs_HGG-IDH	NRGN-expressing neurons 1	Human ped/adult	Velmeshev et al 2019	2.675943270002676e-4	5.342431335211119e-4	-0.441152910961139	-1.757266400858088	PGM2L1, RTN1, SYT4, CREG2, VSNL1, FAIM2, GAP43, NAPB, SNAP25, SNCB, SCN3B, NEFM, LY6H, SERINC1, SYT1, BEX2, PRNP, SCG5, STMN2, CLU, APLP1, DNM1, NRGN, CCDC85B, ATP1A3, YWHAH, SLC17A7, CAMK2A, RGS4, NSF, CALM3, PSAP, LINC00657, SERPINI1, STXBP1, CHN1, RAB3A, ATP2B1, SYP, UCHL1, PEBP1, SLC39A10, ATP6V1B2, RTN3, TMEM66, ATP6AP2
